judul	bahan	langkah
sop buah buka	potong dadu semangka secukpunya, buah apel kupas potong dadu, gula putih, susu kental manis, air putih	larut sendok gula putih dalam gelas. siap buah buah potong dalam wadah. air es. masuk air gula larut. masuk sachet susu kental manis
sop buah segar	buah blewah, buah melon, buah naga, buah aplukat, susu bear brand, gula putih cair, chia seed, es batu air dingin	serut buah melon blewah potong buah naga alpukat bentuk dadu leta wadah. potong masuk aor dingin masuk susu bear brand aduk ubah warna pink. masuk dalam lemari es segar guna es batu saji tuang gula sesuai dalam gelas masuk sop buah tabur chia seed sop buah saji
es buah sop buah	buah naga buah wajib resep, alpukat, apel, pir, buah sesuai selera, cendol, ganti tape, agaragar, nata de coco, dll, susu kental manis, sirup coco pandan, es batu	potong dadu buah buah porsi atur sesuai butuh. masuk topping sesuai selera. pecah es batu. masuk wadah potong buah topping. tambah susu kental manis sesuai selera. tambah sirup coco pandan sesuai tingkat manis. resep. air. es batu cair kuah kuah. air matang
sop buah	semangka, melon, timunsuri, buah naga, pir, selasih, sirup marjan merah, skm putih	kupas semuaa buah potong potong siapkann susu sirup marjann aduk campur air rata masuk buah yg potongpotong jadiii dehhh
es sop buah	semangka, melon, anggur, grass jelly, quot jelly, biji telasih, nata de coco, sirup, susu kental manis	potong buah. bahan. masuk bahan mangkuk. lupa kasih susu sirup yaa. step tambah air es batu. saji
sop buah santan	apel, pear, kolang kaling pakai, nata de coco plus air, bks santan kara, kental manis, gula pasir, air putih	potong buah sesuai selera satu nata de coco kolang kaling. campur santan. air gula masak didih aduk biar santan gak pecah. dingin tuang cmpuran santan dalam buah tambah susu. simpan lemari es biar dingin tambah es batu enak
sop buah alpukat campur	alpukat, kolangkaling, timun suri, susu kental, susu uht, syrup marjan cocopandan, air kelapa muda, daging kelapa muda	potong alpukat. timun suri sesuai selera siap wadahmasukkan bahan ya bunda biar nikmat aduk saji simpan kulkas biar raos
sop buah naga kelapa muda	buah buah naga, buah kelapa muda serta air, sachet skm, biji selasih	potong kotak buah naga. rendam biji selasih air panas. masuk air kelapa muda serta kelapa muda wadah. masuk buah naga selasih. tambah skm aduk. masuk kulkas nunggu buka puasa. saji selamat coba
ide jual puasa sop buah segar	buah naga, buah melon, buah blewa, cincau, agaragar, biji selasih rendam dgn air, susu skm, air gula gula pasir air rebus didih, sirup, es batu	campur bahan deh jual
sop buah sehat	semangka, melon langkawi, buah naga, jeruk mandarin, kiwi, kurma, gula putih, daun pandan, air, btl susu frisian flag ukbesar	cuci smua bahan dl ya rebus air daun pandan smpai didih prefer api ya saring aduk dgn gula. potong buah ya bentuk ukur sesuai selera biji jeruk kurma buang ya semangka bisa bli yg non biji. tuang air gula susu dalam wadah aduk violaaa nikmat tgl es batu dingin kulkas
soup buah	buah apel buah, buah pear buah, buah pear hijau buah, wortel, jagung manis, kulit jeruk kering, buah mete kering, leici, bumbu soup nya yg minum	potong bahan bahan. . . rendam kulit jeruk kering mete kering. rebus air tunggu didih didih masuk bahan. . rebus api menit. . kecil api rebus dg api jam. . tambah ayam hitam klo
sop buah naga	buah naga merah, susu kedelai, keju parut	siap gelas saji kupas buah naga potong kotak. masuk gelas saji siram susu kedelai kuah sop toping keju parut saji dingin nikmat
sop buah pelangi	buah naga, buah anggur merah, pepaya, melon, semangka, inaco warna warni, nata de coco air, biji selasih kering rendam air, kelapa ambil air, blender halus daging, gula putih, helai daun pandan, skm, sirup cocopandan, air, es	masak air. gula. daun pandan campur skm. sirup dingin. bentuk sesuai selera buah campur air kelapa. kelapa blender halus. air masak aduk campur. es batu. manis tambah gula es nikmat
sop buah homemade	buah melon, semangka kuning, semangka merah, air, gula pasir, bungkus skm, nutrisari, es batu	potong dadu melon semangka. masuk buah an bahan wadah masuakn es batu saji
sop buah rassay	buah pepaya, buah naga, buah melon, selasih, skm, air gula, es	kupas buah yg beli. pakai buah naga. pepaya melon potong sesuai. rendam selasih air hangat. aduk air gula skm wadah campur. masuk selasih yg sdh rendam air hangat masuk buah pecah es batu. sop buah segar hidang orang cinta
sop buah segarrr	apel ijo, buah semangka, buah pepaya, bungkus nutrijel, bungkus biji las, gram nata decoco, botol sirup marjan melon, kaleng susu omela	kupas apel nya d potong dadu. belah semanga potong dadu. kupas pepaya potong dadu. masak nutrijel nya smpe didih. tuang cetak tunggu dingin d potong dadu. masak air hinga didih masuk biji las nya mati api nya aduk dingin. klo nata decoco nya tinggal d masuk aj d baskom ya. masak air cukup nya sampe didih d dingin. klo sdh dingin masuk sirup marjan nya tes nya. satu bahan d yg masuk susu nya dingin deh
sop buah sederhana sirup	iris buah melon, iris buah pepaya, sachet susu kental manis putih, sachet marimas mangga, gelas air, es batu	potongpotong iris buah melon pepaya. gelas campur air marimas. aduk marimas larut. masuk susu kental manis campur buah. masuk larut marimas. adukaduk tambah es batu. sop buah sirup saji. . segerr sirup. manis pas
sop buah fiber cream xi mi lu	bahan kuah, , liter air, gula pasir, garam, fiber creme cremer kopi, syrup raspberry merah skip, bahan buah takar, semangka merah, buah pir madu, buah mentimun buang biji serut, pudding ganti cincau, biji selasih, biji sagu, selera tambah buah gantung	siap baskom ukur liter bahan kuah campur kecuali syrup aduk aduk fiber cream nya campur. saring. masak campur kuah kuah didih mati api diam kuah dingin. tunggu kuah dingin. rebus biji sagu air didih kecil api tunggu menit biji sagu empuk tepung tengah biji gigit. potong potong dadu bahan isi buah. sesuai selera potong. kuah dingin masuk bahan isi buah. pudding. sagu las aduk. koreksi. sendok syrup merah perisa manis. hidang dinginnlebih segarrr simpan kulkas hidang
sop buah segar buka puasa	buah semangka, buah melon, buah apel, buah pir, selasih, air gula air gula pasir, susu cair frisian flag coconut delight	sirup gula campur air gula. campur buah selasih air gula wadah. masuk susu cair coconut delight. aduk aduk saji. video temanteman unjung youtube channel dn cooking ya https youtubevjheejeyyw
sop buah warna warni	iris semangka kuning, iris semangka merah, pepaya, melon, buah naga, yoghurt cimory pakai mix fruit, sachet susu kental manis, sachet gula rendah kalori me thermolyte diet sugar, gelas air mateng	cuci brsih potong buah buah. campur smua bahan aduk ratatakaran manis esuai selera ya. masuk buah buah aduk simpen kulkas buka puasa
sop buah sirup tjampolay	melon, kolang kaling, buah pear, alpukat, buah naga, timun suri, sirup pisang susu pakai merk tjampolay, skm, es batu, sesuai selera ya	potong buah sesuai selera masuk es batu. kolang kaling. melon. . tambah buah pear. alpukat timun suri. tambah buah naga sirup skm. air ngga pakai es nya udah cair tunggu buka hehe
sop buah selasih	semangka, mangga, timun, las, gula, skm putih, gula	potong potong buah. rebus selasih megembanglalu angkat. larut gula campur wadah yg isi buah. ituu campur skm putih selasih. tambah es batu sop buah selasih jadiiii
sop buah natadecoco	natadecoco, pc alpukat, semangka, pc kiwi, pc lengkeng, susu uht, mix fibre herbalife, es batu, notes mix fibre ganti gula pasir ya	irisiris buah kiwi. semangka. alpukat masuk iris buah. lengkeng natadecocoke wadah. panas susu uht menit angkat tuang dalam wadah yg isi buah tambah mix fibre aduk. masuk es batu diam kulkas. selamat nikmat
sop buah sederhana	apel, semangka, nanas, pear, buah naga merah, pepaya, skm vanila, gula cair, air esair dingin	potong buah kotak kotak. masuk wadah. masuk skm wadah yg isi buah potong. tambah air gula cair
sop buah biji selasih	buah tomat potong dadu, buah timun suri, bungkus nata de coco, sendok biji selasih, bungkus susu putih kental manis, sendok gula putih sesuai selera, bungkus nutrisari ganti marimas jeruk sirup abc	siram biji selasih gelas air panas aduk air serap habis. siap mangkuk masuk tomat. timun suri. nata de coco biji selasih. aduk masuk gula. susu nutrisari campur simpan kulkas dingin saji. note pakai air nata de coco
sop buah seger	melon, apel, pepaya, kelapa muda, nata de coco, cincau bubuk yg masak, bubuk yg masak, sirop pisang ambon, susu kental manis, es batu	cuci bersih buah. potong sesuai selera. serut kelapa muda. masuk bahan. aduk campur. tambah es batu tes. selamat coba
sop buah kuning ceria	buah semangka kuning, nanas, pisang mas, apel, cuci potong, susu krimer kental manis, sirup gula, air matang, es batu, sirup cocopandan opsional pakai	tata buah potong gelas saji tambah air. sirup gula. susu. tambah sirup cocopandan pakai. es batu sop buah kuning ceria saji
sop buah	buah apel, potong kotak, buah pir, potong kotak, buah jambu merah, potong kotak, bungkus nata de coco, buah kelapa degan, botol sirup marjan rose, air, es batu	potong buah. tuang sirup. nata de coco degan aduk koreksi. saji foto x gak pake jambu. gak pake degan
sop buah sirup gula pandan av kitchen	buah naga, buah pear, buah nanas, air, lembar daun pandan, gula pasir, skm	siap bahan cuci bersih. potong buah rebus air. gula daun pandan didih air. didih mati api diam air hangat. tuang sirup gula pandan dalam mangkok buah. skm. aduk campur. done simpan kulkas sop buah sirup gula pandan nikmat
sop buah cocopandan	buah semangka, buah melon, agaragar warna hijau, sirup cocopandan, air matang, sachet susu kental manis, es batu	siap bahan. ambil es batu. buah semangka. melon tata gelas. tuang sirup air. susu kental manis. . saji buka puasa. lupa aduk
es sop buah segar	buah pepaya, buah melon, buah bengkoang, buah semangka, buah blewah, nata de coco, susu kental manis, sirup frambos, es batu, air matang	kupas buah. potong sesuai selera. tuang air matang campur sirup susu kental manis mangkuk saji aduk. masuk buah nata de coco kuah aduk tambah es batu. sop buah saji
sop buah segar sehat	pepaya, melon, semangka, pear, nata de coco, jelly karakter, gula tropicanaslim, susu kental manis	potong dadu buahbuahan. tambah nata de coco jelly. larut gula air hangat tuang aduk. tambah saset susu kental manis. buka puasa saran jam siang. diam lemari es saji buka puasa sop buah segar tenggorok es batu. pancing batuk pilek
sop buah enak ekonomis	buah melon, secukupny parut, buah naga, potong dadu, , selasih kering, rendam air panas, sisih, air, sirup cocopandan	buah melon. air campur mangkok. tambah buah naga. selasih es batu. saji gelas saji
sop buah minimal	potong bulat pepaya, bungkus nutrijell grass jelly, air, fibrecream, chiaseed, air hangat, kurma ajwa ganjil	potongpotong buah pepaya dadudadu. campur nutrijell grass jelly air. masak didih tuang cetak. dingin potong dadu. seduh fibrecream air hangat. campur pepaya jelly yg potong mangkuk. belah kurma buang biji. campur denga fibrecream larut. tabur chiaseed
sop buah	melon, buah naga, alpukat, manis kolang kaling, biji selasih, air gula, skm, sirup marjan melon ganti sesuai selera, es batu	kupas buah. potongpotong sesuai selera. siram biji selasih air hangat. masuk potong buah biji selasih gelascup. tambah es batu. tambah susu. qir gula sirup. sop buah saji
sop buah matahari	buah naga, buah pir, buah blewah, buah apel, anggur, susu cair stroberi	potong buah naga. pir. apel. anggur blewah. campur susu ultra stroberi. aduk. sop buah matahari saji
sop buah segeer	alpukat, kerok, pir sweet pir, potong kotak, sachet nutrijell anggur, sachet nutrijell strawberry, susu kental manis, sirup cocopandan merah es batu, air	pertamatama. jelly. cetak cetak es batu mudah. . masuk buah. jelly. susu kental manis. sirup merah. es batu. tambah air
es sop buah campur	buah apel, buah pear, buah salak, semangka, buah stroberi, selasih, gelas manis kolang kaling, sachet skm putih, gula pasir, gelas air, sachet pop ice permen karet, garam, vanili	potong dadu buah buah. rendam selasih kembang air panas. masuk air panci tambah gula. vanili. garam pop ice masak didih. campur buah yg potong. manis kolang kaling selasih dalam wadah campur tuang air rebus gula tdi. tambah susu kental manis manis sesuai selera ya sist g mesti sm jg takar manis bs tmbhin skm gula nya klu g suka manis bs rangin y sis. aduk tuang gelas sop buah nya. . tambahin es batu biar adeem. sisa nya tarok dlam lemari es. . biar ttp seger
sop buah	buah semangka, pepaya, pir, mangga sesuai selera, biji selasih mentah, rumput laut, kolang kaling, sachet skm, sirup nik sari, es batu, air	potong buah bentuk sesuai selera. biji selasih mentah. tuang gelas air panas biji selasih tunggu. masuk bahan kecuali es batu mangkok tuang skm sirup nik sari sesuai selera masuk es batu. selamat coba
sop buah leci	buah buah segar, botol sirup leci	cuci potong potong buah siram sirup leci tambah es batu. hidang
sop buah	buah mangga, buah pear, buah apel, buah pepaya, selasih rendam air matang, sirup melon merjan, susu kental manis, es batu hancur, air matang	siap bahan potong kotak buah buah. masuk susu kental manis sirup mangkok. tambah selasih air matang. masuk es batu hancur. aduk. sop buah nikmat saji. selesai
sop buah mix yogurt	buah melon, buah naga, buah pear, buah anggur, buah apel merah, agaragar hijau, nata decoco kw, selasih, botol yogurt cimori, air es, es batu, suka, sirup merah, homemadebisa dg simple sirup, bahan sirup merah, gram gula pasir, botol air matang, pasta merah strawberrysesuai selera	sirup merah. campur bahan. aduk. masak didih biar sebentar angkat. dingin. saring. masuk botol. siap bahan siap wadah cuci anggur. potong cuci pear apel. potong serutcetak bulat melon. buah sesuai selera potongagar. nata decoco buah naga masuk sirup air es. aduk masuk yogurt. aduk. tes. selasih. aduk es batu suka. tuang gelasgelaswadah saji sop buah mix yogurt saji
sop buah timun	buah timun, potong kotak, krimer kental manis, marjan, air dingin freezer es suka	siap bahanbahannya cuci bersih timun. kupas kulit optional. kupas iris kotak. campur bahan gelas saji. tambah air dingin freezer tambah es suka. saji
sop buah sirup	sct susu kental manis me indomilk, krn lbh enak, munjul gula pasir, gelas air matang pakai gelas blimbing, air rebus utk larut susu gula, buah, sesuai selera stok, buah apel, buah pir, buah naga, buah mangga, semangaka, melon	siap wadah sop buah. didih air. masuk susu kental manis sct dlm gelas. kasih air panas penuh. masuk gula pasir dlm gelas. masuk k gelas penuh trs kasih air panas aduk aduk larut. tuang k wadah. gula pasir seduh air panas batas gula. tuang k wadah. masuk sct susu kental manis gelas air k wadah aduk campur. tes. kupas potong dadu buah buah. sisa buah naga utk hancur dlm gelas utk warna alami masuk buah buah naga yg hancur wadah. aduk sebentar masuk k kulkas dingin
